H2                   200  6000  1000
 1.03387890E+01  2.86002620E-02 -1.01043960E-05  1.65798250E-09 -1.04268150E-13 -3.67455510E+04 -2.83253020E+01
-6.67206880E-01  6.01050290E-02 -4.18670420E-05  1.40121510E-08 -1.21785210E-12 -3.37702150E+04  2.82383250E+01
C3H7OOCH3            300  5000  1000
 1.26036700E+01  2.66967900E-02 -8.81226610E-06  1.37798650E-09 -8.38085370E-14 -3.02403550E+04 -3.43181840E+01
 3.35598020E+00  4.40817700E-02 -8.79315030E-06 -1.39292000E-08  7.07542570E-12 -2.72965760E+04  1.54806490E+01
C5H12                300  4000  1000
 1.66779790E+01  2.11448300E-02 -3.53332100E-06 -5.74220200E-10  1.51594830E-13 -2.55367000E+04 -6.37294000E+01
 1.87790700E+00  4.12164500E-02  1.25323370E-05 -3.70153600E-08  1.52556850E-11 -2.00381500E+04  1.87725600E+01
C6H14                300  4000  1000
 2.28047100E+01  2.09798900E-02 -3.53067400E-06 -5.46624500E-10  1.47894990E-13 -3.07375600E+04 -9.58316200E+01
 1.83617400E+00  5.09846100E-02  1.25958570E-05 -4.42836200E-08  1.87223700E-11 -2.29274900E+04  2.08814500E+01
C3H6Z                300  5000  1000
 5.00264930E+00  1.76389930E-02 -6.22663080E-06  1.01514330E-09 -6.32359770E-14 -2.70561520E+02 -2.47234340E+00
 5.55982830E-01  2.70915310E-02 -1.07521040E-05 -9.75392100E-10  1.43147210E-12  1.15701900E+03  2.13441730E+01
C4H8Z                300  5000  1000
 9.30019470E+00  1.98714620E-02 -6.57139750E-06  1.02588880E-09 -6.21603940E-14 -4.66497070E+03 -2.42603000E+01
-2.58697420E-01  4.14754970E-02 -2.13176860E-05  2.79188210E-09  8.57493110E-13 -1.61809580E+03  2.67207180E+01
C5H10                300  5000  1000
 5.00264930E+00  1.76389930E-02 -6.22663080E-06  1.01514330E-09 -6.32359770E-14 -2.70561520E+02 -2.47234340E+00
 5.55982830E-01  2.70915310E-02 -1.07521040E-05 -9.75392100E-10  1.43147210E-12  1.15701900E+03  2.13441730E+01
C6H12                300  5000  1000
 5.00264930E+00  1.76389930E-02 -6.22663080E-06  1.01514330E-09 -6.32359770E-14 -2.70561520E+02 -2.47234340E+00
 5.55982830E-01  2.70915310E-02 -1.07521040E-05 -9.75392100E-10  1.43147210E-12  1.15701900E+03  2.13441730E+01
C4H9CHO              300  5000  1000
 5.00264930E+00  1.76389930E-02 -6.22663080E-06  1.01514330E-09 -6.32359770E-14 -2.70561520E+02 -2.47234340E+00
 5.55982830E-01  2.70915310E-02 -1.07521040E-05 -9.75392100E-10  1.43147210E-12  1.15701900E+03  2.13441730E+01
C3H5OH               300  5000  1000
 5.00264930E+00  1.76389930E-02 -6.22663080E-06  1.01514330E-09 -6.32359770E-14 -2.70561520E+02 -2.47234340E+00
 5.55982830E-01  2.70915310E-02 -1.07521040E-05 -9.75392100E-10  1.43147210E-12  1.15701900E+03  2.13441730E+01
C2H5COOH             300  5000  1000
 5.00264930E+00  1.76389930E-02 -6.22663080E-06  1.01514330E-09 -6.32359770E-14 -2.70561520E+02 -2.47234340E+00
 5.55982830E-01  2.70915310E-02 -1.07521040E-05 -9.75392100E-10  1.43147210E-12  1.15701900E+03  2.13441730E+01
C3H5CHO              300  5000  1000
 5.00264930E+00  1.76389930E-02 -6.22663080E-06  1.01514330E-09 -6.32359770E-14 -2.70561520E+02 -2.47234340E+00
 5.55982830E-01  2.70915310E-02 -1.07521040E-05 -9.75392100E-10  1.43147210E-12  1.15701900E+03  2.13441730E+01
C4H7OH               300  5000  1000
 5.00264930E+00  1.76389930E-02 -6.22663080E-06  1.01514330E-09 -6.32359770E-14 -2.70561520E+02 -2.47234340E+00
 5.55982830E-01  2.70915310E-02 -1.07521040E-05 -9.75392100E-10  1.43147210E-12  1.15701900E+03  2.13441730E+01
C6H10                300  5000  1000
 5.00264930E+00  1.76389930E-02 -6.22663080E-06  1.01514330E-09 -6.32359770E-14 -2.70561520E+02 -2.47234340E+00
 5.55982830E-01  2.70915310E-02 -1.07521040E-05 -9.75392100E-10  1.43147210E-12  1.15701900E+03  2.13441730E+01
C7H8                 200  6000  1000
 1.29394750E+01  2.66921558E-02 -9.68420108E-06  1.57392140E-09 -9.46670482E-14 -6.77035769E+02 -4.67255302E+01
 1.61191400E+00  2.11188902E-02  8.53221453E-05 -1.32566876E-07  5.59406109E-11  4.09651976E+03  2.02973614E+01
C7H12                300  5000  1000
 5.00264930E+00  1.76389930E-02 -6.22663080E-06  1.01514330E-09 -6.32359770E-14 -2.70561520E+02 -2.47234340E+00
 5.55982830E-01  2.70915310E-02 -1.07521040E-05 -9.75392100E-10  1.43147210E-12  1.15701900E+03  2.13441730E+01
C4H7OOH              300  5000  1000
 5.00264930E+00  1.76389930E-02 -6.22663080E-06  1.01514330E-09 -6.32359770E-14 -2.70561520E+02 -2.47234340E+00
 5.55982830E-01  2.70915310E-02 -1.07521040E-05 -9.75392100E-10  1.43147210E-12  1.15701900E+03  2.13441730E+01
C5H8O                300  5000  1000
 5.00264930E+00  1.76389930E-02 -6.22663080E-06  1.01514330E-09 -6.32359770E-14 -2.70561520E+02 -2.47234340E+00
 5.55982830E-01  2.70915310E-02 -1.07521040E-05 -9.75392100E-10  1.43147210E-12  1.15701900E+03  2.13441730E+01
C5H9OH               300  5000  1000
 5.00264930E+00  1.76389930E-02 -6.22663080E-06  1.01514330E-09 -6.32359770E-14 -2.70561520E+02 -2.47234340E+00
 5.55982830E-01  2.70915310E-02 -1.07521040E-05 -9.75392100E-10  1.43147210E-12  1.15701900E+03  2.13441730E+01
C8H14                300  5000  1000
 5.00264930E+00  1.76389930E-02 -6.22663080E-06  1.01514330E-09 -6.32359770E-14 -2.70561520E+02 -2.47234340E+00
 5.55982830E-01  2.70915310E-02 -1.07521040E-05 -9.75392100E-10  1.43147210E-12  1.15701900E+03  2.13441730E+01
CH3CHCO              300  5000  1000
 9.30019470E+00  1.98714620E-02 -6.57139750E-06  1.02588880E-09 -6.21603940E-14 -4.66497070E+03 -2.42603000E+01
-2.58697420E-01  4.14754970E-02 -2.13176860E-05  2.79188210E-09  8.57493110E-13 -1.61809580E+03  2.67207180E+01
cC2H4O               300  5000  1000
 4.31482790E+00  1.38772060E-02 -5.17842320E-06  8.82296460E-10 -5.69212980E-14 -8.68522270E+03 -4.39434050E-01
-9.20335230E-01  2.64219620E-02 -1.34074330E-05  3.13993690E-10  1.42285680E-12 -7.13331400E+03  2.71130310E+01
cC3H6O               300  5000  1000
 4.31482790E+00  1.38772060E-02 -5.17842320E-06  8.82296460E-10 -5.69212980E-14 -8.68522270E+03 -4.39434050E-01
-9.20335230E-01  2.64219620E-02 -1.34074330E-05  3.13993690E-10  1.42285680E-12 -7.13331400E+03  2.71130310E+01
cC4H8O               300  5000  1000
 4.31482790E+00  1.38772060E-02 -5.17842320E-06  8.82296460E-10 -5.69212980E-14 -8.68522270E+03 -4.39434050E-01
-9.20335230E-01  2.64219620E-02 -1.34074330E-05  3.13993690E-10  1.42285680E-12 -7.13331400E+03  2.71130310E+01
cC5H10O              300  5000  1000
 4.31482790E+00  1.38772060E-02 -5.17842320E-06  8.82296460E-10 -5.69212980E-14 -8.68522270E+03 -4.39434050E-01
-9.20335230E-01  2.64219620E-02 -1.34074330E-05  3.13993690E-10  1.42285680E-12 -7.13331400E+03  2.71130310E+01
cC6H12O              300  5000  1000
 4.31482790E+00  1.38772060E-02 -5.17842320E-06  8.82296460E-10 -5.69212980E-14 -8.68522270E+03 -4.39434050E-01
-9.20335230E-01  2.64219620E-02 -1.34074330E-05  3.13993690E-10  1.42285680E-12 -7.13331400E+03  2.71130310E+01
H                    300  5000  1000
 2.50000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.54716200E+04 -4.60117600E-01
 2.50000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.54716200E+04 -4.60117600E-01
OH                   300  5000  1000
 2.88273000E+00  1.01397430E-03 -2.27687700E-07  2.17468300E-11 -5.12630500E-16  3.88688800E+03  5.59571200E+00
 3.63726600E+00  1.85091000E-04 -1.67616460E-06  2.38720200E-09 -8.43144200E-13  3.60678100E+03  1.35886050E+00
OOH                  300  5000  1000
 4.07219100E+00  2.13129600E-03 -5.30814500E-07  6.11226900E-11 -2.84116400E-15 -1.57972700E+02  3.47602900E+00
 2.97996300E+00  4.99669700E-03 -3.79099700E-06  2.35419200E-09 -8.08902400E-13  1.76227300E+02  9.22272400E+00
CH3                  300  5000  1000
 2.84405100E+00  6.13797400E-03 -2.23034500E-06  3.78516100E-10 -2.45215900E-14  1.64378090E+04  5.45269700E+00
 2.43044200E+00  1.11240990E-02 -1.68022000E-05  1.62182880E-08 -5.86495200E-12  1.64237810E+04  6.78979400E+00
HCO                  300  5000  1000
 3.60940910E+00  2.87452620E-03 -9.87888140E-07  1.58403230E-10 -9.77351760E-15  3.23210350E+03  5.43047140E+00
 3.53402730E+00  2.02347310E-03  5.18340810E-07 -3.72460760E-10 -6.08028570E-14  3.37385740E+03  6.23884010E+00
CH2OH                300  5000  1000
 5.93323140E+00  3.61905010E-03 -6.17527520E-07  5.90836340E-11 -2.56986200E-15 -3.61820650E+03 -6.17330550E+00
 2.19664240E+00  1.29632020E-02 -1.28443800E-05  9.91455980E-09 -3.22312250E-12 -2.29783420E+03  1.39273870E+01
CH3O                 300  5000  1000
 6.45804000E+00  3.22182000E-03 -5.09801000E-07  4.41966000E-11 -1.69366000E-15 -8.23233000E+02 -1.22475000E+01
 2.40571000E-01  1.87747000E-02 -2.13180000E-05  1.81151000E-08 -6.61230000E-12  1.35827000E+03  2.11815000E+01
CH3OO                300  5000  1000
 9.76413000E+00  3.04276000E-03 -4.67054000E-07  3.87833000E-11 -1.39425000E-15 -1.91174000E+03 -2.69241000E+01
 1.48937000E+00  2.40776000E-02 -2.38748000E-05  1.51535000E-08 -4.47557000E-12  7.64340000E+02  1.69852000E+01
C2H                  300  5000  1000
