 CN         H2                                          HCN        H                                            4.273e-13  2.870e+00  8.044e+02  2.000e+00  1.000e+02
 CN         OH                                          NCO        H                                            6.645e-11  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 HNCO       H                                           H2         NCO                                          2.728e-13  2.410e+00  6.184e+03  2.000e+00  1.000e+02
 HNCO       H                                           NH2        CO                                           8.805e-14  2.490e+00  1.176e+03  2.000e+00  1.000e+02
 HNCO       O-3P                                        NCO        OH                                           6.159e-13  2.110e+00  5.747e+03  2.000e+00  1.000e+02
 HNCO       O-3P                                        NH         CO2                                          5.063e-13  1.410e+00  4.289e+03  2.000e+00  1.000e+02
 HNCO       OH                                          NCO        H2O                                          2.978e-13  1.500e+00  1.810e+03  2.000e+00  1.000e+02
 HNCO       OH                                          NH2        CO2                                          7.436e-14 -6.000e-02  5.855e+03  2.000e+00  1.000e+02
 HNCO       NH2                                         NCO        NH3                                          8.306e-12  0.000e+00  3.117e+03  2.000e+00  1.000e+02
 HNCO       NH                                          NCO        NH2                                          1.728e-09  0.000e+00  1.980e+04  2.000e+00  1.000e+02
 NCO        H                                           NH         CO                                           8.904e-11  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 NCO        HCO                                         HNCO       CO                                           5.980e-11  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 NCO        NCO                                         CO         CO         N2                                4.983e-12  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 CN         CH4                                         HCN        CH3                                          5.179e-13  2.640e+00 -1.508e+02  2.000e+00  1.000e+02
 NCO        CH4                                         HNCO       CH3                                          1.661e-11  0.000e+00  4.087e+03  2.000e+00  1.000e+02
 3CH2       NH                                          HCN        H          H                                 4.983e-11  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 HCN        N2                                          H          CN         N2                                2.169e-04 -2.600e+00  6.279e+04  2.000e+00  1.000e+02
 CN         H2CO                                        HCN        HCO                                          6.977e-11  0.000e+00  0.000e+00  2.000e+00  1.000e+02
 NH         NH                                          N2         H          H                                 4.153e-11  0.000e+00  0.000e+00  2.000e+00  1.000e+02
